epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.3523980123785725,0.34001413232126976,0.8973293663640625,0.7624645686391106,0.6301942915881092,8726,0.5107703114024819,8358,0.48922968859751814,0,0.0,4245,4113,2074,695,716,721,715,685,669,696,744,643,8358,15.078966212747677,4.999376290078773,10.00000000160364,19.999999903373322,8358,-4.712310580734218e-08,1.0477949193007233e-07,-2.0849579129844642e-07,1.1508120678627165e-07,8358,3.7228163313835532e-09,2.170482172965465e-09,2.1899757940478507e-13,1.2805795929928991e-08,17084,17084,1,1,6f1993399597817707f8a6b450062b2ac9dfbae97e3c26fdbafa3876f3c71b9f,74.06728509999812,74.10943489999045
2,0.2968427788050162,0.32256167790985285,0.9031080416806958,0.7722493336335401,0.6562707114092217,8504,0.4977756965581831,8580,0.5022243034418169,0,0.0,4359,4221,2117,716,741,715,700,716,654,736,781,704,8580,15.08041953318112,4.999353123601077,9.999999988591266,19.999999916216037,8580,-4.7238461654943696e-08,1.0447140630826761e-07,-2.1346665235455475e-07,1.272389553719222e-07,8580,3.7605360971420975e-09,2.1860871864745483e-09,2.8144910832941984e-13,1.206155853053847e-08,17084,17084,1,1,fbd58fae15581851333b2214e431e4c878b08718e1fb3a217b594860e952daf6,74.21236989996396,148.4925166000612
3,0.27680944395802165,0.35806368020574064,0.9038139389168531,0.7713410828200933,0.6692377885338595,8562,0.5011706860220089,8522,0.49882931397799113,0,0.0,4249,4273,2131,675,736,712,714,726,735,751,685,657,8522,14.985918753030358,4.999980068394624,10.000000003085534,19.99999990777041,8522,-4.537377223597587e-08,1.0433550432829309e-07,-2.119334965300368e-07,1.103561881876658e-07,8522,3.7177789381692787e-09,2.1767260674264606e-09,1.7199465380028987e-12,1.1485916196440954e-08,17084,17084,1,1,ad67e97da31c6c6e8d53390b7c91f1e4d7043ce88f71d312e20617a99f4c028d,73.73322410008404,222.40624700009357
4,0.26556008773675094,0.3048099380781577,0.9115269543864413,0.7825514415826563,0.6888528258910511,8440,0.49402950128775464,8644,0.5059704987122454,0,0.0,4304,4340,2140,744,753,728,699,722,704,726,714,714,8644,14.979176262270478,4.999956533293549,9.999999998917824,19.999999919171493,8644,-4.499467713731425e-08,1.0468555900778183e-07,-2.0609130046977953e-07,1.0890999924129119e-07,8644,3.731692005014594e-09,2.181827648100452e-09,2.2962739407297234e-13,1.265749427570103e-08,17084,17084,1,1,c142015265109bf3115a5aa0f57e38dc3fab483d906ce00cc06a64cef26d8520,73.85641010000836,296.42832549999
5,0.2573576961327593,0.3061712618642951,0.9113699937412205,0.7886703201504327,0.6967757335615075,8415,0.4925661437602435,8669,0.5074338562397565,0,0.0,4297,4372,2171,688,756,724,719,769,663,746,697,736,8669,14.956742371052883,4.999812770742684,10.000000003332655,19.999999925971355,8669,-4.4450636013817683e-08,1.0467434008821516e-07,-2.1032118624475515e-07,1.0835039532253177e-07,8669,3.730134488649564e-09,2.1754980780114875e-09,3.2107194240952926e-13,1.2111921331731369e-08,17084,17084,1,1,dade26ffcc8a2911f46ab1e4d268ba84ddb9b1c58115b0808cdb5dc759a968f2,74.80498110002372,371.42329450009856
6,0.24519707556980552,0.30628832671982265,0.9086547101853153,0.7787284520499435,0.6968382678103083,8571,0.5016974947319129,8513,0.4983025052680871,0,0.0,4273,4240,2132,698,707,694,713,719,678,682,751,739,8513,15.01938207553418,4.999962329182933,9.999999998887533,19.999999900442727,8513,-4.592711295958617e-08,1.0478914925519565e-07,-2.014280582329775e-07,1.1206161687482563e-07,8513,3.7443954824565926e-09,2.185458666869399e-09,9.748028625996138e-13,1.1175796452005062e-08,17084,17084,1,1,467dd47a25244e09706bde8ac41065cc546707cb4f27da0ad6133713ad558b08,79.31297550001182,450.9096341000404
7,0.23511044795159797,0.32252518714640815,0.9084265873203321,0.7778699192267468,0.6833554080489541,8668,0.5073753219386561,8416,0.49262467806134397,0,0.0,4252,4164,2136,684,732,649,695,691,694,731,703,701,8416,15.05228132220771,4.9997265545657195,9.999999996887228,19.999999905049805,8416,-4.66135838312484e-08,1.046088946691748e-07,-2.0085546736936521e-07,1.1295306912018077e-07,8416,3.757253238549013e-09,2.1752609674813287e-09,1.3078702018402027e-12,1.1796194514168604e-08,17084,17084,1,1,9b1e3ba6fb1ffb38c9d8671f19590bb288d9a441da139fd6b1bf23228f78f504,73.36413700005505,524.4279065000592
8,0.22755555659567436,0.320557862742416,0.9094341112855544,0.7809453066679367,0.6730602415036473,8566,0.5014048232264107,8518,0.49859517677358933,0,0.0,4245,4273,2203,728,704,686,665,702,719,728,689,694,8518,14.983564171800664,4.9999728824221465,9.999999998161641,19.99999991202766,8518,-4.515167238211289e-08,1.0476790091236405e-07,-2.1456181897860915e-07,1.0366815850204603e-07,8518,3.728817645518353e-09,2.1689794041259416e-09,2.5917378060385004e-12,1.1138632635534263e-08,17084,17084,1,1,75468ff6879ce64a6a157dc434c08871dd4de7635c12c2ce1f1b2ad2f4075bd5,73.15028669999447,597.7156516000396
9,0.2169228066705312,0.3335287171274507,0.9093075790977657,0.7800883820459911,0.6844697903358153,8500,0.4975415593537813,8584,0.5024584406462187,0,0.0,4275,4309,2158,685,773,714,703,707,703,683,722,736,8584,14.98019566768022,4.9999606750325984,10.000000000992147,19.999999918232035,8584,-4.5274111901948705e-08,1.0462717635817172e-07,-2.0498249142519853e-07,1.1025880297665935e-07,8584,3.755764640009792e-09,2.193925329154653e-09,9.15507773419999e-13,1.216956312700836e-08,17084,17084,1,1,10fb885a96964f2e8bd2b999aae630737767628593af55893ce76b666480277d,73.7114939999301,671.5698393000057
10,0.20707870877143567,0.35843710341635754,0.9012189305408166,0.7648870657672995,0.7005149158033463,8626,0.5049168812924374,8458,0.4950831187075626,0,0.0,4230,4228,2095,730,721,688,760,674,743,698,672,677,8458,15.001182267115325,4.999999756535446,9.999999999034472,19.999999907049567,8458,-4.548812667427196e-08,1.0445421246778475e-07,-2.0755134144678777e-07,1.1296816637695883e-07,8458,3.7198397939225582e-09,2.172468011581176e-09,8.324284387460309e-13,1.2123955041098214e-08,17084,17084,1,1,c43fa8848e27a9dad9600a8851c9d51e9dcfa0822f675e9318c3128612db87e3,73.25000290002208,744.9609439000487
