epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.46423077242794764,0.4224106504443863,0.8337405191135453,0.6148352062566721,0.41682298501143744,8561,0.5011121517209085,8523,0.49888784827909155,0,0.0,4209,4314,2111,702,746,657,730,690,721,684,748,734,8523,14.938401926834123,4.999620449995174,10.000000005606411,19.999999906003456,8523,-4.430279962938805e-08,1.046900891926863e-07,-1.975933301423538e-07,1.0967727881450173e-07,8523,3.7157287126227492e-09,2.15657694266496e-09,1.5224836428474899e-12,1.1437555929229198e-08,17084,17084,1,1,7b160a32602113665655291d4bb11f1c3439bd0a17bde695fc63c1bc3d9c8035,50.41658720001578,50.45949220005423
2,0.37035035384368403,0.36286022998080114,0.8701188232067054,0.692574813136092,0.6082085897534679,8548,0.5003512058066026,8536,0.4996487941933973,0,0.0,4159,4377,2198,701,698,690,743,686,703,717,724,676,8536,14.87230548647517,4.998369042506455,9.999999997687624,19.999999907866847,8536,-4.304685495761333e-08,1.0451785300329991e-07,-2.0069698081215392e-07,1.2548267136480717e-07,8536,3.749600912423596e-09,2.1977704524154444e-09,6.443444592108906e-13,1.1545855214512885e-08,17084,17084,1,1,702a970c07a7e06e15e3d63ca928870b3959ae324716c57a04a09209ef10dc5d,49.571145400055684,100.18669910007156
3,0.339930644514856,0.40705197971775947,0.8834985599121083,0.7249170073019171,0.5398920229234544,8511,0.4981854366658862,8573,0.5018145633341138,0,0.0,4253,4320,2090,741,740,731,700,668,730,694,749,730,8573,14.960923785902933,4.999847199081795,9.999999994997266,19.99999991813416,8573,-4.4728118161596085e-08,1.0467571513153751e-07,-2.0719276250247276e-07,1.1932669963243825e-07,8573,3.745751546491091e-09,2.16266427769805e-09,1.2175504174376885e-12,1.2085476432166526e-08,17084,17084,1,1,8a2ae16df489f5e9e49041b8a23d13f3888e3611260faabcdf64b5394b0c10b9,48.44293710007332,148.78867170005105
4,0.3182566877453647,0.3545316003353265,0.8958992535797204,0.7543475946054811,0.6391620160884866,8684,0.5083118707562632,8400,0.49168812924373684,0,0.0,4197,4203,2166,670,705,694,697,688,709,681,709,681,8400,14.996428526114185,4.999998620737196,9.999999982433163,19.999999913374445,8400,-4.531438771517214e-08,1.0457421593984267e-07,-2.017464026948801e-07,1.1733928317880782e-07,8400,3.7391689001964766e-09,2.1762471402889945e-09,8.563105760599365e-13,1.1818607668394741e-08,17084,17084,1,1,65c8914bec6fa9fcb9b27fff30635d223d8e25a47448a9572882e918ab53211f,49.508209499996156,198.44386360002682
5,0.30572344587073064,0.3608747510741164,0.8983138305799123,0.7620823014959864,0.6491833399622513,8484,0.4966050105361742,8600,0.5033949894638258,0,0.0,4276,4324,2105,754,701,739,705,738,712,749,712,685,8600,14.972092978492675,4.9999220153269075,9.999999999160295,19.99999991918765,8600,-4.4763137422273164e-08,1.0492354242189969e-07,-2.0504390363385028e-07,1.1274521583004571e-07,8600,3.749972478781174e-09,2.1925614899298414e-09,2.0272142204896888e-13,1.2469516992475482e-08,17084,17084,1,1,6d73870553b0ed99b591cc90529451c8603dac4413e94d3154cd08fb5e4fe0a0,48.68533230002504,247.27775160002057
6,0.29785779065506374,0.3284017100638579,0.9035500909011189,0.7708086438981985,0.6876229894947257,8527,0.49912198548349335,8557,0.5008780145165067,0,0.0,4336,4221,2117,711,737,738,712,730,674,703,711,724,8557,15.067196400746706,4.999548339699036,9.999999991599047,19.999999905755853,8557,-4.660633931488646e-08,1.044299021154433e-07,-2.0693238411695347e-07,1.1022091506163179e-07,8557,3.687182467428058e-09,2.1748283939816666e-09,3.8127803414269225e-13,1.1116077911992537e-08,17084,17084,1,1,9a24f5970fb15a8502523e599a275410a899177e35b8f21de03f91c4fe6b2fa5,48.122149999951944,295.55334300000686
7,0.2939769104070782,0.33425453316354353,0.9056828611506262,0.7767607778154051,0.6700373445375248,8428,0.4933270896745493,8656,0.5066729103254507,0,0.0,4306,4350,2155,736,726,749,671,732,724,725,714,724,8656,14.974584058213967,4.999935298893552,10.00000000185281,19.999999910160177,8656,-4.529804865524285e-08,1.046929701686527e-07,-2.088180615089641e-07,1.1895573592823894e-07,8656,3.7164403075310234e-09,2.162459762538547e-09,2.457363225558372e-13,1.0862155954540501e-08,17084,17084,1,1,0d1a841bd70049abf3fc32768bfe45d61f892a88b47f8beb0053acae4d72f276,48.45808869996108,344.1906376000261
8,0.28608011925870824,0.3507906625121971,0.9060768625794366,0.7773627095948245,0.6749146953320397,8396,0.49145399203933504,8688,0.508546007960665,0,0.0,4359,4329,2236,719,707,753,704,710,667,741,719,732,8688,15.017265147191814,4.999970087386646,9.999999992657894,19.999999911326512,8688,-4.617835070663618e-08,1.0461398817463594e-07,-2.125680538256347e-07,1.0862679467038561e-07,8688,3.762260049673403e-09,2.1792322082286348e-09,6.991345534170864e-13,1.2984267254878015e-08,17084,17084,1,1,c964f517867c7a51f4026e7bd789cf2e4f41595cea9a7469b9fc11428de2fc18,48.675398999941535,393.02109669998754
9,0.28502880125798263,0.36428740967797657,0.9063014988774434,0.7797810986077787,0.636934154675412,8508,0.4980098337625849,8576,0.5019901662374151,0,0.0,4301,4275,2170,710,706,717,747,675,723,725,701,702,8576,15.015158536257122,4.9999769178309394,9.999999998970248,19.999999908798422,8576,-4.58324305232781e-08,1.0463500119864797e-07,-2.091327360176365e-07,1.2589668152429567e-07,8576,3.758737728874288e-09,2.169579572728211e-09,1.0503969097068775e-12,1.149376136294996e-08,17084,17084,1,1,7d9523df1df85233b56ac723e5c6d8634af21d3daa80039bde81c22d25174c96,49.097086799913086,442.2535431999713
10,0.27999351434784675,0.3272337625488875,0.9109990213411342,0.787845468937683,0.6836825603916925,8665,0.5071997190353548,8419,0.4928002809646453,0,0.0,4197,4222,2126,751,741,698,646,661,719,695,667,715,8419,14.98515258573164,4.9999778515540845,10.000000000189587,19.99999991107879,8419,-4.5222154714060834e-08,1.0474250414276468e-07,-2.074164164866943e-07,1.1722621806597999e-07,8419,3.7037668670184757e-09,2.1764358677187566e-09,8.597186998507031e-13,1.1157615367809515e-08,17084,17084,1,1,a9c869fe50e8fcbd3c99d24bd71f2dc31368d27f55aa7f05fe2a4ab70ec57da0,47.5833509999793,489.98671379999723
