kind,snr,condition,active,n_records,actual_snr_mean,actual_snr_max_error,offdiag_abs_corr_mean,covariance_relative_error_mean,correlation_mae_mean,rms_relative_error_max,psd_band_relative_error
bandpass,20,independent,all,64,20.0,3.552713678800501e-15,0.028173473642943814,0.771072283207249,0.18700791893634505,0.20239071632962669,0.03167429981795142
bandpass,10,independent,all,64,10.0,3.552713678800501e-15,0.028173473642943814,0.771072283207249,0.18700791893634505,0.20239071632962669,0.03167429981795142
bandpass,0,independent,all,64,0.0,3.552713678800501e-15,0.028173473642943814,0.771072283207249,0.18700791893634505,0.20239071632962669,0.03167429981795142
bandpass,20,independent_rms,all,64,20.0,3.552713678800501e-15,0.028173473642943814,0.7617961715135697,0.18700791893634505,2.386148295743564e-16,0.031416930204655184
bandpass,10,independent_rms,all,64,10.0,3.552713678800501e-15,0.028173473642943814,0.7617961715135697,0.18700791893634505,2.386148295743564e-16,0.031416930204655184
bandpass,0,independent_rms,all,64,0.0,3.552713678800501e-15,0.028173473642943814,0.7617961715135697,0.18700791893634505,2.386148295743564e-16,0.031416930204655184
bandpass,20,electrode,all,64,20.0,1.7763568394002505e-15,0.19747206950876808,0.0,0.0,0.0,0.0
bandpass,10,electrode,all,64,10.0,1.7763568394002505e-15,0.19747206950876808,0.0,0.0,0.0,0.0
bandpass,0,electrode,all,64,0.0,1.7763568394002505e-15,0.19747206950876808,0.0,0.0,0.0,0.0
bandpass,20,covariance,all,64,20.0,7.105427357601002e-15,0.19747206950876808,1.3059165945987202e-15,3.1490879004674395e-16,1.550710864836953e-15,0.03760133083715131
bandpass,10,covariance,all,64,10.0,7.105427357601002e-15,0.19747206950876808,1.3059165945987202e-15,3.1490879004674395e-16,1.550710864836953e-15,0.03760133083715131
bandpass,0,covariance,all,64,0.0,7.105427357601002e-15,0.19747206950876808,1.3059165945987202e-15,3.1490879004674395e-16,1.550710864836953e-15,0.03760133083715131
